#region(2025年)
&bgcolor(#ffffff){&bold(){&big(){2025年}}}
#table_filter(){日付=show,出来事=show,切り抜き=hide,関係者=hide,備考=show}
#table_style(head=center)
|BGCOLOR(#FF681F):~&color(#ffffff){日付}|BGCOLOR(#FF681F):~&color(#ffffff){出来事}|BGCOLOR(#FF681F):~&color(#ffffff){切り抜き}|BGCOLOR(#FF681F):~&color(#ffffff){関係者}|BGCOLOR(#FF681F):~&color(#ffffff){備考}|h
|~8月6日|~vs.[[Trickster]]抗争④|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch①}>>https://youtu.be/sBoG4E7jkvQ?si=GX-iEEwf6ztvySen]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch②}>>https://youtu.be/zJr7AeZj-iI?si=agnglc_MF9H14Iuo]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){せるふぃch}>>https://youtu.be/ORMH6DXsiy8?si=QzMiI0CrUMLRO5bb]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/X_MP10gpHpo?si=4WFBd0jQMSZBpdRf]]|~[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]&br()[[ジョーカー>>半沢　直ふぃ]]&br()[[水嶋 じぇい>>水嶋　じぇい]]&br()[[八王子 めぐ>>八王子　めぐ]]|トリックスター解散の餞としてCUBのチンピラがリゼロを賭けた抗争を承諾し勝利。獲得した物資はチンピラ預かり。|
|~8月8日|~第3回NO LIMITトライアスロンレース開催|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/7IYuy-N8QkE?si=hDnWAxncSKGl4J-r]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/jyU9-RX7ssQ?si=pvzrl2CggaG0bhSk]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/39mbdipwyEA?si=-t4_jul8klbBarZy]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/6nDe1JtIsRA?si=zqW9iJFcjIfgugb4]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/EO-4i36o2DA?si=Qw1kFLzhWu2TiVpU]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){だって政宗ch}>>https://youtu.be/AUSw8AYZpwI?si=FIuqmS7YQepmMBsf]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]|ヘリ・車・バイクの3種の乗り物を使うチームレース。3人の合計タイムで競う。過去2回からグレードアップ。|
|~|~[[伊達咲 政宗>>伊達咲　政宗]]正式採用|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>URL]]|~[[伊達咲 政宗>>伊達咲　政宗]]|トライアスロン、ヘリ検証後に正式採用発表。|
|~8月16日|~シャンプロ夏フェス2025|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/1YUOYvywFB8?si=DV9jP4j4GF0VsLFy]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch①}>>https://youtu.be/L5VN8G-9rDk?si=y12ot86P4FxJVsx4]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch②}>>https://youtu.be/84U71ftITSA?si=L2jzzQUG7suduTYf]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/yrQGzExMk_4?si=hU8qv-9QFydtes4L]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/na69VRXfUgY?si=2jmmOoxU2nvYu5qn]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]&br()[[うしくん>>キラ　メキーラ]]&br()[[葵井 優>>葵井　優]]&br()[[さとう・ざ・ろっく>>さとう]]&br()[[くまの ふでこ>>くまの　ふでこ]]&br()[[MC Sunrise>>MC　Sunrise]]&br()[[葉加邪 ナイ>>葉加邪　ナイ]]&br()[[日之 ぱちお>>日之　ぱちお]]&br()[[安倍 霊明>>安倍　霊明]]&br()[[ノビー ラング>>ノビー　ラング]]&br()[[天羽 りひと>>天羽　りひと]]&br()[[ペトロ アルドベッグ>>ペトロ　アルドベッグ]]&br()[[ジョアンナテクノサービス]]&br()[[浪速漢D]]|ヨシャパテが企画しシャンプロ総動員で2023SUMMER FESTIVALよりもパワーアップしたイベントを開催した。|
|~8月17日|~[[いわさき そす>>いわさき　そす]]仮採用決定|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/ST84kH4b1vU?si=aVWeatBUo7D_ZbH8]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/ejSYcQ-_0bg?si=Q4-2jGZk4LJw4cGG]]|~[[いわさき そす>>いわさき　そす]]|[[餡ブレラ>>anbrella(餡ブレラ)]]解散を知ったシャンクズが即日勧誘し、テロリスト活動の継続を条件に承諾。|
|~|~不定期会議|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/IpBwAWKFAK8?si=Jyb691C2oAGb-XIo]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]&br()[[いわさき そす>>いわさき　そす]]|ウラからの訴えをきっかけに、毎週水曜金曜は積極的に大型犯罪を行うことが決定した。|
|~8月26日|~[[チンピラ>>Lv.〇　チンピラ]]/[[山田 カイキ>>山田　カイキ]]/[[ヨシャパテ>>アイドゥラー　ヨシャパテ]]/[[飯田 けんつ>>飯田　けんつ]]&br()MOZUへの行いの処罰として期限付きの解雇処分|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/G7Ojr9gk5aY?si=QYrVkS_gyXCEWIGn]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/2s93G4ZIeGg?si=1N6anx4CCHs2fZc3]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch③}>>https://youtu.be/bw21zG9i9Zs?si=0PlTNlLHFzamA6dm]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch④}>>https://youtu.be/0ql38EZ5XBI?si=E6nNybsid28KZ8gO]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑤}>>https://youtu.be/DZtI6Rxw2iM?si=1qutsBC-xR0hO-V2]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑥}>>https://youtu.be/unEYDb7bmnM?si=DsGx3QjdWa2MHlMh]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch①}>>https://youtu.be/yR4GaPGFECI?si=GXEosfUTv-qY8zjG]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch②}>>https://youtu.be/dCqUN2ufNSI?si=cTg0jyRSVI7Tpevl]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けっつんch①}>>https://youtu.be/J_8dDhPzBbQ?si=uIwOKe7RZdLSY929]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けっつんch②}>>https://youtu.be/9dcwL_889Cs?si=GuyIFq0uQXkFwUdh]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych①}>>https://youtu.be/numqNmXgHQ0?si=HrUTHtgvsNWozoyN]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych②}>>https://youtu.be/OvnvuhgzY9o?si=kVXrPownUctHFMxB]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych③}>>https://youtu.be/y3b8WQF6sug?si=WKW0ByT_DpDNyDr3]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/WnL-SI-WmcU?si=ynySRjLQwH5xjkIC]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch①}>>https://youtu.be/UxRCrQps9V4?si=dPPRUFgSjsGiv0Ej]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch②}>>https://youtu.be/u8BSLajshZQ?si=9eWVcZonfFuAjz7E]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch③}>>https://youtu.be/J6Stjpyevqs?si=F5PLyCoAbB3qxOQ7]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch④}>>https://youtu.be/aKdYx7OG21g?si=Q5eAe5F_j3Ca0X5Q]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch⑤}>>https://youtu.be/sHQoTya1Rlc?si=31HtBtwr9zIQS86z]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/zudfRFPVNZU?si=f8uerRKMNV1qUbM7]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch①}>>https://youtu.be/s7SXl11txow?si=4J0Dkg_WHVBhAyxa]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch②}>>https://youtu.be/EeZ1ursEjNo?si=wreTGqqDc0IL6tnN]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch①}>>https://youtu.be/l0iVrC6kM3s?si=APiB9fnXE_a4J7pp]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch②}>>https://youtu.be/jUYTayZc3C0?si=-sj6PZBMApfkNwAJ]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch③}>>https://youtu.be/2uUNXNKO4P0?si=AFxckxCV2ADbOs22]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch④}>>https://youtu.be/DJM3QGDfvog?si=FYnfXQFaYQuwXRfN]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch①}>>https://youtu.be/neo7JoU2fCw?si=wGdArR8icvapeSac]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch②}>>https://youtu.be/dx3i2lNyFUE?si=Ydjf2MAe6lXHZ7AX]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch③}>>https://youtu.be/iaJpvBpfv2M?si=5e2vhJ0egbC-p7Ep]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch④}>>https://youtu.be/OHv5ep8k22g?si=QO_u49Lwii2myLjC]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch⑤}>>https://youtu.be/Iynx1DE_y44?si=zb2j3sRPxVZ8bp1j]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch⑥}>>https://youtu.be/VZZsTwaPPT0?si=Noh-i-zOBsOR6Mdk]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch⑦}>>https://youtu.be/7ZG4ZprhV_M?si=DjhJyOMVFae7qZbX]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch⑧}>>https://youtu.be/7ZG4ZprhV_M?si=X7sEaUjA8a5O9WSl]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch⑨}>>https://youtu.be/pFHdIH9z1S4?si=ytThE0I9LNlQPH_B]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch①}>>https://youtu.be/TNbwlMXpc8M?si=dbmVSiugIEM06y1h]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch②}>>https://youtu.be/oDJ0LIk1rXY?si=KGHEsC9sGWPKXJLX]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch③}>>https://youtu.be/7yIF1gmgDqM?si=1a_LCJZ637etvUZb]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch④}>>https://youtu.be/Lzqpvm8aWc0?si=3EB8WdTrTv4NT-Jo]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch⑤}>>https://youtu.be/bx2TNszbRV0?si=SGhXdgwKLwRWDzT8]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch⑥}>>https://youtu.be/Nvlo6C38fMw?si=vykngFUF8_t97vtm]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch①}>>https://youtu.be/olCuRy5Y0OY?si=-k8SNDOqJ4EfO9fD]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch②}>>https://youtu.be/CnbawonYzgg?si=q8o3-AQJL5mNK2sa]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch③}>>https://youtu.be/D6zfdxfQNAY?si=GBp6Jto5IIQQ3z0i]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch④}>>https://youtu.be/qtFAQid5Vko?si=hu6YjEEX6NZni3RM]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch⑤}>>https://youtu.be/H6f2FSraPAs?si=OzV84-9nikX6pQ6U]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch⑥}>>https://youtu.be/HlMsLFrgims?si=baI0cTbU8jRKFal4]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch⑦}>>https://youtu.be/YMz7hVQqo3Q?si=7yvQtAxqDoUoDf4-]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch⑧}>>https://youtu.be/bZf0yYU8NtU?si=AzEawZESs2khMdWi]]|~[[チンピラ>>Lv.〇　チンピラ]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]|8月24日にMOZUの解散報告を受けた後、該当4名がMOZUアジトを襲撃した。&br()3人に焚き付けられ暴走してしまったカイキは車にC4爆弾(粘着爆弾STICKY BOMB)を付けアジト前に突撃爆破し多数のダウン者を出した。&br()想定外の結果に混乱した4人はその場から逃走してしまうも拠点にてメンバーに叱責され反省し謝罪をすることに。&br()しかしながらMOZU側も他組織への挨拶まわりなどで時間が無く対応は後日にしてくれという事になった。&br()当事者4名の処遇は、期間限定でクビ＆MOZU構成員からの爆撃許容。&br()起床日数換算でカイキは1週間、その他3名は3日間のクビ処分が言い渡された。&br()それぞれが思い思いの謹慎期間を過ごした後にボスと改めて話し復帰した。|
|~8月27日|~[[ジョーカー>>半沢　直ふぃ]]復帰|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/dd9HVwQ-Kj8?si=1JTZHLG437z_Nk4q]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/1NMKE1yituc?si=kKYFjjm4PagusEhZ]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){せるふぃch}>>https://youtu.be/BbBIWjKw-BI?si=Gu2XQdV4KWwADvnJ]]|~[[ジョーカー>>半沢　直ふぃ]]|[[Trickster]]を解散しシャンクズから戻るように声を掛けられ恩返しのために帰ってきた。|
|~9月19日|~[[いわさき　そす]]正式採用||~[[いわさき　そす]]|ヘリ移動中の雑談で仮採用のままなことを思い出したシャンクズがその場で正式採用とした。|
|~9月20日|~NOLIMIT歴史振り返りツアー|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/yHogM_G0ErA?si=pb1Xb-avGh8_lpLx]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けっつんch}>>https://youtu.be/SoZs5v3K08Y?si=Y6doonGVev49qMKD]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/r4yhSJFXdKs?si=MbHc6exe7uz953QW]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/pC9dxAtvP-c?si=k_pmn56TTfxOGnv7]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/GLkC0mG1XLA?si=J6uJHg87gTxxsBm0]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch}>>https://youtu.be/NygwXd7hzIs?si=gBmkSKtI-gcngA5S]]|~[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]&br()[[いわさき そす>>いわさき　そす]]|AP発案で一つの車両に全員で乗り、各拠点をまわりながら歴史を振り返った。|
|~9月21日|~全人類転送|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/klsoLc3HVH4?si=JFKi3ZQn2NZUSjw3]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/e92zvVg--O4?si=31HOcoZQ9aWVNn8W]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch③}>>https://youtu.be/9MnKR2jv2YI?si=n8-_kZ6NPlUKrzCj]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/iooULFQEKBo?si=M8aIVrOfPJXeolg3]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/CGoAXrxI8Ck?si=l0UZpI8130l2_kES]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/h9Vfm_OEGf4?si=hH_L-Gsm05bHyB_v]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/etrZRkv7Yq0?si=HN-3jLVAXFx9eUgg]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch}>>https://youtu.be/_bD6yb0JXvc?si=bYh9yh8Yolax1sN-]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/dA_nGV7Tln8?si=V5SKY-ErPp6Ilswk]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/4PZvKIKG_xA?si=_F25oPWpRVGBsPY-]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ジョーカー>>半沢　直ふぃ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]&br()[[いわさき そす>>いわさき　そす]]&br()[[葵井 優>>葵井　優]]&br()[[さとう・ざ・ろっく>>さとう]]&br()[[くまの ふでこ>>くまの　ふでこ]]&br()[[葉加邪 ナイ>>葉加邪　ナイ]]|別次元の敵から逃れるため、[[山下 ひろし>>山下　ひろし]]の能力で心のある[[全市民を別次元へ転送する計画>>全人類転送ミッション]]が立てられた。&br()NOLIMITと[[シャンプロ>>シャンクズプロモーション]]メンバーは[[E5's BURGER]]を防衛しながら時間稼ぎを行った。&br()この日、まちょとてっては一時的に個人医に戻りかつてのように戦った。&br()以前シャンクズが毒多博士からお土産として渡された物はマイソクラフトの箱と呼ばれる次元を渡る装置だった。&br()最終局面、それを預けていたセイジから受け取り山下市長のもとへ向かい転送装置の完成を手伝った。そして無事人類の転送がなされた。|
|~Season2|||||
|~12月19日|~新たな街へ転送完了&br()シャンクズが記憶喪失(?)|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>URL]]||多くのメンバーは前の街で最後に戦っていた[[E5's BURGER]]周辺で戦闘服のまま目を覚ました。&br()しかしながらそうでない者も何人かおりその中でも特異だったのがシャンクズであった。&br()彼の記憶はどうやら街に来た3日目頃に戻っており警察体験を中断した時点までしかない。&br()改めて警察体験再開を目指すボスに対してメンバーは困惑しつつも接触を図る。&br()また丘猫まるも何故か普段の私服姿で現れピエロと戦った記憶もないようだった…。|

//|~月日|~出来事|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/FbzGKCOXyZw?si=u1xOErbWyiFTHjx-]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/wjodSyiCn7s?si=c82VlBwbFoyFQ0F9]]|~関係者|備考|
//
//
#table_sorter{even=#ffffff,odd=#ffffff}
//
//
//
//
//~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[ジョーカー>>半沢　直ふぃ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]&br()[[いわさき そす>>いわさき　そす]]&br()[[テキーラ ジンバック>>テキーラ　ジンバック]]&br()[[うしくん>>キラ　メキーラ]]&br()[[葵井 優>>葵井　優]]&br()[[さとう・ざ・ろっく>>さとう]]&br()[[くまの ふでこ>>くまの　ふでこ]]&br()[[ジェフリー ヒッチコック>>ジェフ雄]]&br()[[MC Sunrise>>MC　Sunrise]]&br()[[葉加邪 ナイ>>葉加邪　ナイ]]&br()[[明路 笑生>>明路　笑生]]&br()[[赤ちゃん キャップ>>ましゃかり　トラボルタ]]&&br()[[日之 ぱちお>>日之　ぱちお]]&br()[[安倍 霊明>>安倍　霊明]]&br()[[ノビー ラング>>ノビー　ラング]]&br()[[天羽 りひと>>天羽　りひと]]&br()[[ペトロ アルドベッグ>>ペトロ　アルドベッグ]]br()[[金令木 雅之>>四皇　シャンクズ]]&br()[[わきを まさし>>キャプテン　わきを]]&br()[[佐藤 ジェフ雄>>ジェフリー　ヒッチコック]]&br()[[キャプ久保 博之>>ましゃかり　トラボルタ]]&br()[[無月 レオ>>無月　レオ]]&br()[[ >>　]][[>>]]
//
//&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>URL]]
